cd_ibge;municipio;gde_regiao;mes;casos_novos;pop;pop_60;obitos;area
3536570;Paulistânia;Interior;Maio;1;1769;326;0;25618
3536604;Paulo de Faria;Interior;Maio;1;8521;1433;0;73799
3536703;Pederneiras;Interior;Maio;37;45570;6644;1;72874
3536802;Pedra Bela;Interior;Maio;4;5964;1147;0;15859
3536901;Pedranópolis;Interior;Maio;0;2422;596;0;2601
3537008;Pedregulho;Interior;Maio;0;16279;2558;0;7126
3537107;Pedreira;Interior;Maio;7;46548;7069;0;10882
3537156;Pedrinhas Paulista;Interior;Maio;4;3010;581;1;15231
3537206;Pedro de Toledo;Interior;Maio;1;10977;1813;0;67044
3537305;Penápolis;Interior;Maio;13;60774;11490;2;71132
3537404;Pereira Barreto;Interior;Maio;12;25391;4495;2;97425
3537503;Pereiras;Interior;Maio;2;8428;1408;0;22314
3537602;Peruíbe;Interior;Maio;55;66201;11193;6;32622
3537701;Piacatu;Interior;Maio;0;5891;1010;0;23249
3537800;Piedade;Interior;Maio;75;53536;8755;5;74687
3537909;Pilar do Sul;Interior;Maio;13;28221;4259;1;68125
3538006;Pindamonhangaba;Interior;Maio;26;163611;23934;3;730
3538105;Pindorama;Interior;Maio;8;16255;2914;0;18483
3538204;Pinhalzinho;Interior;Maio;0;14755;2867;0;15453
3538303;Piquerobi;Interior;Maio;2;3535;686;0;48277
3538501;Piquete;Interior;Maio;2;13647;2694;0;176
3538600;Piracaia;Interior;Maio;13;26287;4407;0;38557
3538709;Piracicaba;Interior;Maio;466;389873;64835;20;137807
3538808;Piraju;Interior;Maio;32;28574;5424;3;50459
3538907;Pirajuí;Interior;Maio;8;23259;3878;1;82376
3539004;Pirangi;Interior;Maio;3;10823;2163;1;21581
